ID,DAY,MONTH,YEAR,DATE,HOUR,MIN,SEC,TIME,TYPE,LIKES,COMMENTS,TOTAL_WORDS,POS,NEG,NEU,COMP
1405174859572227_1370634193026294,30,5,2017,5/30/17,21,56,2,21:56:02,video,4,0,0,0,0,0,0
1405174859572227_1370630669693313,30,5,2017,5/30/17,21,48,19,21:48:19,video,3,0,0,0,0,0,0
1405174859572227_1370507913038922,30,5,2017,5/30/17,18,59,4,18:59:04,video,1,0,0,0,0,0,0
1405174859572227_1370503233039390,30,5,2017,5/30/17,18,51,36,18:51:36,video,1,0,0,0,0,0,0
1405174859572227_1369595556463491,29,5,2017,5/29/17,23,24,6,23:24:06,video,1,0,0,0,0,0,0
1405174859572227_1369412883148425,29,5,2017,5/29/17,18,30,2,18:30:02,video,3,0,0,0,0,0,0
1405174859572227_1369409293148784,29,5,2017,5/29/17,18,23,47,18:23:47,video,14,0,18,0.443,0.119,0.438,0.798
1405174859572227_1369405556482491,29,5,2017,5/29/17,18,20,34,18:20:34,video,9,0,0,0,0,0,0
1405174859572227_1369402063149507,29,5,2017,5/29/17,18,13,56,18:13:56,photo,12,1,0,0,0,0,0
1405174859572227_1368676566555390,28,5,2017,5/28/17,22,45,26,22:45:26,video,9,0,0,0,0,0,0
1405174859572227_1368046203285093,28,5,2017,5/28/17,6,11,9,06:11:09,video,2,0,0,0,0,0,0
1405174859572227_1368022543287459,28,5,2017,5/28/17,5,23,27,05:23:27,video,6,0,0,0,0,0,0
1405174859572227_1368020336621013,28,5,2017,5/28/17,5,17,48,05:17:48,video,1,0,0,0,0,0,0
1405174859572227_1366101190146261,26,5,2017,5/26/17,5,54,36,05:54:36,status,12,0,0,0,0,0,0
1405174859572227_1366098650146515,26,5,2017,5/26/17,5,48,45,05:48:45,video,4,0,0,0,0,0,0
1405174859572227_1365889923500721,26,5,2017,5/26/17,0,24,43,00:24:43,video,3,0,0,0,0,0,0
1405174859572227_1365213743568339,25,5,2017,5/25/17,8,26,37,08:26:37,photo,36,1,186,0.162,0.046,0.792,0.974
1405174859572227_1364932840263096,24,5,2017,5/24/17,23,8,12,23:08:12,video,1,0,0,0,0,0,0
1405174859572227_1364929580263422,24,5,2017,5/24/17,23,0,35,23:00:35,status,1,0,0,0,0,0,0
1405174859572227_1364924293597284,24,5,2017,5/24/17,22,54,27,22:54:27,video,4,0,0,0,0,0,0
1405174859572227_1364066847016362,23,5,2017,5/23/17,23,39,13,23:39:13,video,7,0,7,0,0.685,0.315,-0.827
1405174859572227_1364062013683512,23,5,2017,5/23/17,23,30,6,23:30:06,video,1,0,0,0,0,0,0
1405174859572227_1364061450350235,23,5,2017,5/23/17,23,29,2,23:29:02,video,5,0,9,0,0,1,0
1405174859572227_1364057747017272,23,5,2017,5/23/17,23,21,14,23:21:14,video,4,0,0,0,0,0,0
1405174859572227_1362626303827083,22,5,2017,5/22/17,7,15,34,07:15:34,video,4,0,0,0,0,0,0
1405174859572227_1360312260725154,19,5,2017,5/19/17,18,47,28,18:47:28,video,3,0,6,0,0.386,0.614,-0.484
1405174859572227_1360305820725798,19,5,2017,5/19/17,18,37,29,18:37:29,video,5,0,0,0,0,0,0
1405174859572227_1360305200725860,19,5,2017,5/19/17,18,36,12,18:36:12,video,9,0,0,0,0,0,0
1405174859572227_1359842730772107,19,5,2017,5/19/17,8,26,43,08:26:43,photo,43,1,182,0.116,0.029,0.855,0.915
1405174859572227_1359549780801402,18,5,2017,5/18/17,23,20,6,23:20:06,link,1,0,0,0,0,0,0
1405174859572227_1359545174135196,18,5,2017,5/18/17,23,13,23,23:13:23,video,2,0,6,0,0.333,0.667,-0.359
1405174859572227_1359532774136436,18,5,2017,5/18/17,22,55,10,22:55:10,video,10,0,0,0,0,0,0
